type,name,lat,lng,assetId,tds,AveDrySolids,classification,InletScreened6mm,InletDeGritting,SludgeScreened,CoLocatedSTC,OpsHrs,TankerSizeM3,Collection,SlugePrimaryDestination,SlugePrimaryDestinationPercent,PrimaryTransportMode,SlugeSecondaryDestination,SlugeSecondaryDestinationPercent,SecondaryTransportMode
sWwTW,HORNBY STW,54.4464,-1.43561,TST5122   ,0,,SB,,,,,,,,,,,,,
sWwTW,HUMSHAUGH STW,55.0313,-2.12482,NST1872,0,,SB,,,,,,,,,,,,,
sWwTW,HUTTON MAGNA STW,54.509,-1.80594,TST3112   ,1,,SB,,,,,,,,,,,,,
sWwTW,INGLEBY GREENHOW STW,54.4504,-1.10804,TST2091   ,1,,SB,,,,,,,,,,,,,
sWwTW,KIELDER LEAPLISH STW,55.1833,-2.53368,NST4942,0,,SB,,,,,,,,,,,,,
sWwTW,KIRKHARLE STW,55.1344,-1.98397,NST2712,0,,SB,,,,,,,,,,,,,
sWwTW,KIRKLEVINGTON STW,54.4843,-1.34052,TST2112,0,,SB,,,,,,,,,,,,,
sWwTW,KIRKWHELPTINGTON STW,55.1546,-2.00171,NST1571,1,,SB,,,,,,,,,,,,,
sWwTW,LAMBLEY STW,54.9211,-2.51119,NST2481,0,,SB,,,,,,,,,,,,,
sWwTW,LEAPLISH SKI CLUB STW,55.1833,-2.53368,NST4942,1,,SB,,,,,,,,,,,,,
sWwTW,LONGBYRE STW,54.9897,-2.53852,NST1982,0,,SB,,,,,,,,,,,,,
sWwTW,LONGHIRST VILLAGE,55.1926,-1.64739,NST1532,0,,SB,,,,,,,,,,,,,
sWwTW,LONGHORSLEY STW,55.2441,-1.75809,NST1452,8,,SB,,,,,,,,,,,,,
sWwTW,LONGNEWTON STW,54.5438,-1.39915,TST1052,10,,SB,,,,,,,,,,,,,
sWwTW,LOW WORSALL,54.4853,-1.39763,TST2201   ,1,,SB,,,,,,,,,,,,,
sWwTW,MANFIELD STW,54.5161,-1.65466,TST5152,2,,SB,,,,,,,,,,,,,
sWwTW,MATFEN STW,55.0413,-1.94703,NST1811,2,,SB,,,,,,,,,,,,,
sWwTW,MELSONBY STW,54.4694,-1.6852,TST5162,9,,SB,,,,,,,,,,,,,
sWwTW,MICKLETON STW,54.6104,-2.04245,TST3142,1,,SB,,,,,,,,,,,,,
sWwTW,MIDDLETON-IN-TEESDALE  STW,54.6197,-2.07597,TST3132,22,,SB,,,,,,,,,,,,,
sWwTW,MIDDLETON-ONE-ROW  STW,54.6943,-1.19239,TST5172   ,1,,SB,,,,,,,,,,,,,
sWwTW,MILLFIELD STW,55.6029,-2.09896,NST1141   ,1,,SB,,,,,,,,,,,,,
sWwTW,MOORSHOLME STW,54.5242,-0.93593,TST6042,0,,SB,,,,,,,,,,,,,
sWwTW,NENTHEAD STW,54.7922,-2.34663,NST2052,1,,SB,,,,,,,,,,,,,
sWwTW,NETHERTON STW,55.3619,-2.01562,NST3392,2,,SB,,,,,,,,,,,,,
sWwTW,NEWBY STW,54.5015,-1.22146,TST2131,0,,SB,,,,,,,,,,,,,
sWwTW,NEW MOORS STW,54.6108,-1.74179,WST1532,14,,SB,,,,,,,,,,,,,
sWwTW,NEWFIELD STW,54.6958,-1.69011,WST1522,1,,SB,,,,,,,,,,,,,
sWwTW,NEWTON STW,54.973,-1.9451,NST2143,9,,SB,,,,,,,,,,,,,
sWwTW,NEWTON UNDER ROSEBERRY STW,54.5102,-1.12373,TST2142   ,0,,SB,,,,,,,,,,,,,
sWwTW,NEWTON-ON-THE-MOOR STW,55.3449,-1.72964,NNL8552,0,,SB,,,,,,,,,,,,,
sWwTW,NRHAM STW,55.7216,-2.15712,NST1042,0,,SB,,,,,,,,,,,,,
sWwTW,OTTERBURN STW,55.2278,-2.17213,NST1462,3,,SB,,,,,,,,,,,,,
sWwTW,PICKTREE STW,54.8698,-1.56387,WST2261,1,,SB,,,,,,,,,,,,,
sWwTW,PITTINGTON STW,54.7879,-1.48475,WST1572,21,,SB,,,,,,,,,,,,,
sWwTW,PITY ME STW,54.8072,-1.59299,WST1582,13,,SB,,,,,,,,,,,,,
sWwTW,PLAWSWORTH STW,54.8212,-1.59,WST1592,22,,SB,,,,,,,,,,,,,
sWwTW,RAMSHAW STW,54.6283,-1.76363,WST1622,35,,SB Cphos,,,,,,,,,,,,,
sWwTW,REDESMOUTH STW,55.1346,-2.21511,NST2502,0,,SB,,,,,,,,,,,,,
sWwTW,RENNINGTON STW,55.4623,-1.66359,NST1232,0,,SB,,,,,,,,,,,,,
sWwTW,ROCHESTER STW,55.276,-2.26497,NST3192,0,,SB,,,,,,,,,,,,,
sWwTW,ROOKHOPE STW,54.7716,-2.09108,WST1631   ,3,,SB,,,,,,,,,,,,,
sWwTW,ROTHBURY ENVIRONMENTAL STW,55.308,-1.89732,NST1341,1,,SB,,,,,,,,,,,,,
sWwTW,SADBERGE  STW,54.55,-1.4741,TST1072,5,,SB,,,,,,,,,,,,,
sWwTW,SATLEY STW,54.7892,-1.8146,WST1651,0,,SB,,,,,,,,,,,,,
sWwTW,SCOTS GAP STW,55.1692,-1.93541,NST1501   ,2,,SB,,,,,,,,,,,,,
sWwTW,SHERATON STW,54.7072,-1.31547,TST4072   ,0,,SB,,,,,,,,,,,,,
sWwTW,SHERBURN HOSPITAL STW,54.7691,-1.52428,WST1681,1,,SB,,,,,,,,,,,,,
sWwTW,SHILBOTTLE STW,55.3699,-1.6606,NST1302,3,,SB,,,,,,,,,,,,,
sWwTW,SLALEY STW,54.9102,-2.02709,NST2112,0,,SB,,,,,,,,,,,,,
sWwTW,SNITTER (& THROPTON) STW,55.3204,-1.95515,NST1411   ,1,,SB,,,,,,,,,,,,,
sWwTW,STAINDROP STW,54.5735,-1.78148,TST3202,22,,SB,,,,,,,,,,,,,
sWwTW,STAINTON  STW,54.5535,-1.89882,TST3242,7,,SB,,,,,,,,,,,,,
sWwTW,STAMFORDHAM STW,55.0416,-1.86966,NST2391,7,,SB,,,,,,,,,,,,,
sWwTW,STANHOPE STW,54.7367,-1.99269,WST1712,31,,SB,,,,,,,,,,,,,
sWwTW,SUMMERHOUSE STW,54.5659,-1.6874,TST5193   ,0,,SB,,,,,,,,,,,,,
sWwTW,SWAINBY STW,54.4186,-1.26538,TST2192,2,,SB,,,,,,,,,,,,,
sWwTW,TEESSIDE AIRPORT STW (GOOSEBECK),54.5208,-1.42584,TST5202,17,,SB,,,,,,,,,,,,,
sWwTW,TOGSTON STW,55.3073,-1.60808,NST1392,1,,SB,,,,,,,,,,,,,
sWwTW,TOW LAW STW,54.7413,-1.8237,WST1762,33,,SB,,,,,,,,,,,,,
sWwTW,ULGHAM STW,55.2268,-1.63214,NST1472,5,,SB,,,,,,,,,,,,,
sWwTW,UNIVERSITY STW,54.7562,-1.5761,WST1782,22,,SB,,,,,,,,,,,,,
sWwTW,USHAW MOOR STW,54.7804,-1.66207,WST1792,1,,SB,,,,,,,,,,,,,
sWwTW,WALL STW,55.0121,-2.13568,NST1882,0,,SB,,,,,,,,,,,,,
sWwTW,WARK STW ,55.0853,-2.2195,NST1721,2,,SB,,,,,,,,,,,,,
sWwTW,WEAR VALLEY JUNCTION STW ,54.6797,-1.74543,WST1831,1,,SB,,,,,,,,,,,,,
sWwTW,WEST WOODBURN STW,55.1754,-2.17424,NST1481,1,,SB,,,,,,,,,,,,,
sWwTW,WHALTON STW,55.1218,-1.80671,NST1671,2,,SB,,,,,,,,,,,,,
sWwTW,WHITTINGHAM STW,55.4024,-1.88959,NST1292,1,,SB,,,,,,,,,,,,,
sWwTW,WHITTLE COLLIERY STW,55.3533,-1.72621,NST8742,3,,SB,,,,,,,,,,,,,
sWwTW,WHORLTON STW,54.5268,-1.83529,TST3222,1,,SB,,,,,,,,,,,,,
sWwTW,WINDMILL STW,54.6502,-1.78871,WST1892,0,,SB,,,,,,,,,,,,,
sWwTW,WOOLEY HOSPITAL STW,54.9304,-2.04854,NST8572,0,,SB,,,,,,,,,,,,,
