Id,Company,Status,StatusStart,Latitude,Longitude,ReceivingWaterCourse,LastUpdated,ObjectId,LatestEventStart,LatestEventEnd,x,y
SRN0728,Southern Water,0,1/4/2024 4:15:00 PM,50.8109248004388,-1.2210272069978,SOLENT,12/22/2024 3:15:00 PM,6168913,1/4/2024 4:15:00 PM,1/4/2024 6:00:00 PM,-135924.126927728,6587916.4111083
SRN0490,Southern Water,0,11/27/2024 5:54:00 AM,50.9154302610796,-1.38870874130262,ITCHEN,12/22/2024 3:15:00 PM,6168914,11/27/2024 5:54:00 AM,11/27/2024 6:24:00 AM,-154590.349941976,6606347.92663078
SRN0789,Southern Water,0,10/22/2024 11:48:00 AM,50.7571013633524,-1.55508841102994,BUCKLAND STREAM,12/22/2024 3:15:00 PM,6168915,10/22/2024 11:48:00 AM,10/22/2024 11:54:00 AM,-173111.650054374,6578439.71506212
SRN0796,Southern Water,0,8/1/2024 5:05:17 PM,51.0809296183176,-1.17510047852576,TRIBUTARY OF THE RIVER ITCHEN,12/22/2024 3:15:00 PM,6168916,8/1/2024 5:05:17 PM,8/1/2024 6:30:00 PM,-130811.58690042,6635621.7396262
SRN9075,Southern Water,0,6/13/2024 11:42:14 AM,51.2385082061227,-1.38500971720762,TEST,12/22/2024 3:15:00 PM,6168917,6/13/2024 11:42:14 AM,6/13/2024 12:15:00 PM,-154178.576463288,6663591.99729043
SRN0821,Southern Water,0,11/27/2024 6:38:00 AM,51.0434483936587,-0.894178904978663,ROTHER,12/22/2024 3:15:00 PM,6168918,11/27/2024 6:38:00 AM,11/27/2024 7:46:00 AM,-99539.5403803117,6628982.84203984
SRN0434,Southern Water,0,9/26/2024 12:58:23 PM,51.1128886672726,-1.49852294345094,TEST,12/22/2024 3:15:00 PM,6168919,9/26/2024 12:58:23 PM,9/26/2024 1:45:00 PM,-166814.811006996,6641286.76620972
SRN0846,Southern Water,0,11/23/2024 9:53:26 PM,50.8619124636426,-1.38656697650128,SOLENT,12/22/2024 3:15:00 PM,6168920,11/23/2024 9:53:26 PM,11/23/2024 10:15:00 PM,-154351.929774891,6596903.88934528
SRN0912,Southern Water,0,6/20/2023 4:41:00 AM,50.8570849881313,-1.17266248764438,WALLINGTON,12/22/2024 3:15:00 PM,6168921,6/20/2023 4:41:00 AM,6/20/2023 4:46:00 AM,-130540.190996946,6596052.5403354
SRN0926,Southern Water,0,1/4/2024 5:08:00 PM,50.9416161289787,-1.37498605291218,SOLENT,12/22/2024 3:15:00 PM,6168922,1/4/2024 5:08:00 PM,1/4/2024 6:28:00 PM,-153062.747258037,6610972.78246026
SRN0925,Southern Water,0,10/26/2024 10:24:00 PM,50.9416161289787,-1.37498605291218,SOLENT,12/22/2024 3:15:00 PM,6168923,10/26/2024 10:24:00 PM,10/26/2024 10:26:00 PM,-153062.747258037,6610972.78246026
SRN0924,Southern Water,0,12/11/2024 11:36:00 PM,50.9418843645526,-1.374697787246,SOLENT,12/22/2024 3:15:00 PM,6168924,12/11/2024 11:36:00 PM,12/11/2024 11:42:00 PM,-153030.657670865,6611020.17075808
SRN0934,Southern Water,0,10/20/2021 8:14:57 PM,50.8664195853153,-1.04104876567015,WALLINGTON,12/22/2024 3:15:00 PM,6168925,10/20/2021 8:14:57 PM,10/21/2021 2:59:22 AM,-115889.018485367,6597698.82195129
SRN0922,Southern Water,0,12/5/2024 6:43:48 PM,50.9745539332263,-1.55757174957751,BLACKWATER,12/22/2024 3:15:00 PM,6168926,12/5/2024 6:43:48 PM,12/5/2024 9:29:52 PM,-173388.094036957,6616793.8418428
SRN0887,Southern Water,0,11/24/2024 7:28:00 PM,51.1125794086612,-1.48939767769815,TEST,12/22/2024 3:15:00 PM,6168927,11/24/2024 7:28:00 PM,11/24/2024 8:58:00 PM,-165798.991070042,6641231.92859375
SRN0280,Southern Water,0,12/6/2024 11:56:00 PM,50.8967681244581,-1.18902331019641,RIVER MEON,12/22/2024 3:15:00 PM,6168928,12/6/2024 11:56:00 PM,12/7/2024 1:58:00 AM,-132361.469432397,6603053.47371555
SRN0950,Southern Water,0,11/27/2024 3:27:19 AM,50.8390242736097,-1.13746197531894,PORTSMOUTH HARBOUR,12/22/2024 3:15:00 PM,6168929,11/27/2024 3:27:19 AM,11/27/2024 4:00:00 AM,-126621.687889216,6592868.22603686
SRN0961,Southern Water,0,11/27/2024 3:00:00 AM,50.818983725707,-1.09184960722654,PORTSMOUTH HARBOUR,12/22/2024 3:15:00 PM,6168930,11/27/2024 3:00:00 AM,11/27/2024 3:22:00 AM,-121544.142299294,6589336.28621986
SRN0278,Southern Water,0,12/5/2024 5:27:22 AM,50.8378406919278,-1.17271878131776,PORTSMOUTH HARBOUR,12/22/2024 3:15:00 PM,6168931,12/5/2024 5:27:22 AM,12/5/2024 5:56:00 AM,-130546.457580001,6592659.58983775
SRN0042,Southern Water,0,12/6/2024 9:44:00 PM,50.7253355704221,-1.22457247822376,IOW STREAMS,12/22/2024 3:15:00 PM,6168932,12/6/2024 9:44:00 PM,12/7/2024 6:15:00 AM,-136318.784715326,6572851.82329398
SRN0274,Southern Water,0,12/18/2024 9:38:18 PM,50.7048024244502,-1.29062115748002,TRIBUTARY OF RIVER MEDINA,12/22/2024 3:15:00 PM,6168933,12/18/2024 9:38:18 PM,12/18/2024 10:30:00 PM,-143671.290057701,6569241.87186035
SRN0016,Southern Water,0,11/27/2024 4:26:29 PM,50.6674175107209,-1.18463222450977,EASTERN YAR,12/22/2024 3:15:00 PM,6168934,11/27/2024 4:26:29 PM,11/27/2024 9:45:00 PM,-131872.656009731,6562673.25274756
SRN0587,Southern Water,0,11/27/2024 12:15:56 AM,50.6447744226067,-1.2004407082166,IOW STREAMS,12/22/2024 3:15:00 PM,6168935,11/27/2024 12:15:56 AM,11/27/2024 5:15:05 AM,-133632.448366189,6558697.3507904
SRN0073,Southern Water,0,10/20/2024 8:26:44 AM,50.5890211914598,-1.31397650050557,CHALE BAY,12/22/2024 3:15:00 PM,6168936,10/20/2024 8:26:44 AM,10/20/2024 10:11:22 AM,-146271.194950608,6548915.79531891
SRN0086,Southern Water,0,12/5/2024 3:21:27 AM,50.6830239525125,-1.51601391131677,YAR,12/22/2024 3:15:00 PM,6168937,12/5/2024 3:21:27 AM,12/5/2024 6:45:00 AM,-168761.896643302,6565414.70568585
SRN0112,Southern Water,0,12/4/2020 11:54:00 AM,50.6146144399848,-1.22215395291945,IOW STREAMS,12/22/2024 3:15:00 PM,6168938,12/4/2020 11:54:00 AM,12/4/2020 12:15:00 PM,-136049.55570998,6553404.53105375
SRN0148,Southern Water,0,11/27/2024 2:57:47 AM,50.6043447341136,-1.31997154388421,UNNAMED STREAM - CHALE,12/22/2024 3:15:00 PM,6168939,11/27/2024 2:57:47 AM,11/27/2024 4:00:10 AM,-146938.560126801,6551603.05981201
SRN0233,Southern Water,0,12/18/2024 9:55:54 PM,50.7164784463761,-1.28817849807775,MEDINA,12/22/2024 3:15:00 PM,6168940,12/18/2024 9:55:54 PM,12/18/2024 11:08:00 PM,-143399.374456859,6571294.4501424
SRN0667,Southern Water,0,11/27/2024 2:48:00 AM,50.6542857805864,-1.27992371624488,MEDINA,12/22/2024 3:15:00 PM,6168941,11/27/2024 2:48:00 AM,11/27/2024 1:04:00 PM,-142480.456346614,6560367.21757088
SRN0261,Southern Water,0,9/5/2024 11:49:22 AM,50.7675002123843,-1.30839170323604,SOLENT,12/22/2024 3:15:00 PM,6168942,9/5/2024 11:49:22 AM,9/5/2024 12:27:28 PM,-145649.49816238,6580269.79111314
SRN0291,Southern Water,0,12/5/2024 3:20:17 AM,50.7347854215217,-1.21222965813684,WOOTTON CREEK,12/22/2024 3:15:00 PM,6168943,12/5/2024 3:20:17 AM,12/5/2024 8:00:00 AM,-134944.788268297,6574513.74196668
SRN0292,Southern Water,0,12/12/2024 12:04:00 PM,50.7347854215217,-1.21222965813684,SOLENT,12/22/2024 3:15:00 PM,6168944,12/12/2024 12:04:00 PM,12/12/2024 12:16:00 PM,-134944.788268297,6574513.74196668
SRN0176,Southern Water,0,11/27/2024 2:05:38 AM,50.6714891917777,-1.51033042250095,SOLENT,12/22/2024 3:15:00 PM,6168945,11/27/2024 2:05:38 AM,11/27/2024 11:41:17 AM,-168129.213562395,6563388.40298402
SRN0738,Southern Water,0,12/5/2024 3:45:34 AM,50.682581362628,-1.51771704035833,YAR,12/22/2024 3:15:00 PM,6168946,12/5/2024 3:45:34 AM,12/5/2024 5:57:25 AM,-168951.488100964,6565336.94706689
